"マルチビタミン＆ミネラル
1月,,入庫,出庫,サンプル,在庫,,1月,,入庫,出庫,サンプル,在庫,,1月,,入庫,出庫,サンプル,在庫,,1月,,入庫,出庫,サンプル,在庫,,1月,,入庫,出庫,サンプル,在庫,,1月,,入庫,出庫,サンプル,在庫,,1月,,入庫,出庫,サンプル,在庫
1,木,,,,3496,,1,木,,,,5779,,1,木,,,,736,,1,木,,,,1745,,1,木,,,,2510,,1,木,,,,1158,,1,木,,,,475
2,金,,,,3496,,2,金,,,,5779,,2,金,,,,736,,2,金,,,,1745,,2,金,,,,2510,,2,金,,,,1158,,2,金,,,,475
3,土,,,,3496,,3,土,,,,5779,,3,土,,,,736,,3,土,,,,1745,,3,土,,,,2510,,3,土,,,,1158,,3,土,,,,475
4,日,,,,3496,,4,日,,,,5779,,4,日,,,,736,,4,日,,,,1745,,4,日,,,,2510,,4,日,,,,1158,,4,日,,,,475
5,月,,51,0,3445,,5,月,,41,0,5738,,5,月,,11,0,725,,5,月,,5,0,1740,,5,月,,27,0,2483,,5,月,,1,0,1157,,5,月,,0,0,475
6,火,,49,0,3396,,6,火,,48,0,5690,,6,火,,24,4,697,,6,火,,11,0,1729,,6,火,,69,1,2413,,6,火,,0,0,1157,,6,火,,0,0,475
7,水,,92,0,3304,,7,水,,70,0,5620,,7,水,,4,0,693,,7,水,,15,0,1714,,7,水,,46,0,2367,,7,水,,12,0,1145,,7,水,,0,0,475
8,木,,80,0,3224,,8,木,,71,0,5549,,8,木,,16,0,677,,8,木,,6,0,1708,,8,木,,81,0,2286,,8,木,,0,20,1125,,8,木,,3,0,472
9,金,,48,0,3176,,9,金,,59,0,5490,,9,金,,18,0,659,,9,金,,12,0,1696,,9,金,,20,0,2266,,9,金,,0,0,1125,,9,金,,0,0,472
10,土,,,,3176,,10,土,,,,5490,,10,土,,,,659,,10,土,,,,1696,,10,土,,,,2266,,10,土,,,,1125,,10,土,,,,472
11,日,,,,3176,,11,日,,,,5490,,11,日,,,,659,,11,日,,,,1696,,11,日,,,,2266,,11,日,,,,1125,,11,日,,,,472
12,月,,,,3176,,12,月,,,,5490,,12,月,,,,659,,12,月,,,,1696,,12,月,,,,2266,,12,月,,,,1125,,12,月,,,,472
13,火,,42,0,3134,,13,火,,41,2,5447,,13,火,,21,0,638,,13,火,,9,0,1687,,13,火,,47,0,2219,,13,火,,5,0,1120,,13,火,,0,0,472
14,水,,99,0,3035,,14,水,,82,0,5365,,14,水,,12,0,626,,14,水,,19,0,1668,,14,水,,62,0,2157,,14,水,,0,0,1120,,14,水,,6,0,466
15,木,,49,0,2986,,15,木,,57,4,5304,,15,木,,11,0,615,,15,木,,13,0,1655,,15,木,,49,0,2108,,15,木,,1,0,1119,,15,木,,0,0,466
16,金,,57,0,2929,,16,金,,76,0,5228,,16,金,,6,0,609,,16,金,,14,0,1641,,16,金,,28,0,2080,,16,金,,15,0,1104,,16,金,,0,0,466
17,土,,,,2929,,17,土,,,,5228,,17,土,,,,609,,17,土,,,,1641,,17,土,,,,2080,,17,土,,,,1104,,17,土,,,,466
18,日,,,,2929,,18,日,,,,5228,,18,日,,,,609,,18,日,,,,1641,,18,日,,,,2080,,18,日,,,,1104,,18,日,,,,466
19,月,,58,0,2871,,19,月,,68,0,5160,,19,月,,2,0,607,,19,月,,10,0,1631,,19,月,,72,2,2006,,19,月,,0,0,1104,,19,月,,0,0,466
20,火,,39,0,2832,,20,火,,32,0,5128,,20,火,,3,0,604,,20,火,,2,0,1629,,20,火,,42,0,1964,,20,火,,30,0,1074,,20,火,,0,90,376
21,水,,135,0,2697,,21,水,,130,0,4998,,21,水,,8,0,596,,21,水,,6,0,1623,,21,水,,54,0,1910,,21,水,,7,0,1067,,21,水,,0,0,376
22,木,,71,20,2606,,22,木,,61,0,4937,,22,木,,3,0,593,,22,木,,9,0,1614,,22,木,,31,0,1879,,22,木,,31,0,1036,,22,木,,2,100,274
23,金,,45,0,2561,,23,金,,76,0,4861,,23,金,,5,0,588,,23,金,,13,0,1601,,23,金,,25,0,1854,,23,金,,2,0,1034,,23,金,,0,20,254
24,土,,,,2561,,24,土,,,,4861,,24,土,,,,588,,24,土,,,,1601,,24,土,,,,1854,,24,土,,,,1034,,24,土,,,,254
25,日,,,,2561,,25,日,,,,4861,,25,日,,,,588,,25,日,,,,1601,,25,日,,,,1854,,25,日,,,,1034,,25,日,,,,254
26,月,,60,1,2500,,26,月,,64,0,4797,,26,月,,17,0,571,,26,月,,14,0,1587,,26,月,,34,0,1820,,26,月,,0,0,1034,,26,月,,0,0,254
27,火,,32,0,2468,,27,火,,42,0,4755,,27,火,,6,0,565,,27,火,,6,0,1581,,27,火,,65,1,1754,,27,火,,2,0,1032,,27,火,,0,0,254
28,水,,103,1,2364,,28,水,,90,5,4660,,28,水,,9,0,556,,28,水,,13,0,1568,,28,水,,38,0,1716,,28,水,,3,0,1029,,28,水,,0,0,254
29,木,,70,0,2294,,29,木,,72,0,4588,,29,木,,12,0,544,,29,木,,13,0,1555,,29,木,,42,0,1674,,29,木,,2,0,1027,,29,木,,0,0,254
30,金,,98,0,2196,,30,金,,34,0,4554,,30,金,,12,0,532,,30,金,,9,0,1546,,30,金,,18,0,1656,,30,金,,0,0,1027,,30,金,,50,0,204
31,土,,,,2196,,31,土,,,,4554,,31,土,,,,532,,31,土,,,,1546,,31,土,,,,1656,,31,土,,,,1027,,31,土,,,,204
小計,,,1278,22,2196,,小計,,0,1214,11,4554,,小計,,0,200,4,532,,小計,,0,199,0,1546,,小計,,0,850,4,1656,,小計,,0,111,20,1027,,小計,,0,61,210,204
合計,,,1300,,2196,,合計,,0,1225,,4554,,合計,,0,204,,532,,合計,,0,199,,1546,,合計,,0,854,,1656,,合計,,0,131,,1027,,合計,,0,271,,204
入荷予定日,,,状況,,入庫数,,入荷予定日,,,状況,,入庫数,,入荷予定日,,,状況,,入庫数,,入荷予定日,,,状況,,入庫数,,入荷予定日,,,状況,,入庫数,,入荷予定日,,,状況,,入庫数,,入荷予定日,,,状況,,入庫数
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3月,,,,,"10,000",,,,,,,,,2月末,,,,,3333
,,,,,,,4/3,,,,,5000,,2025/12/16→2/26,,,,,960,,,,,　,,,,,,,,,,,,,,,,,,,,,,,
1月→2/5,,,,,"2,719",,7/3,,,,,5000,,2025/12/17→3/13,,,,,479,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026/4、5、6月,,,,,約7700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,バルク,,,,,54万粒,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
セティ原料　早めに手配【2.5か月かかる】,,,,,,,,,,,,,,セティ原料手配,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
※セティ原料は納品したらすぐに次の分を発注しておくこと,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
