"マルチビタミン＆ミネラル
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,サンプル使用期限,,,,2025年12月末,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
社販,,,,,,,社販,,,,,,,社販,,,,,1,,社販,,,,,2,,社販,,,,,,,社販,,,,,,,社販,,,,,,,社販,,,,,
11月,,入庫,出庫,サンプル,在庫,,11月,,入庫,出庫,サンプル,在庫,,11月,,入庫,出庫,サンプル,在庫,,11月,,入庫,出庫,サンプル,在庫,,11月,,入庫,出庫,サンプル,在庫,,11月,,入庫,出庫,サンプル,在庫,,11月,,入庫,出庫,サンプル,在庫,,11月,,入庫,出庫,サンプル,在庫
1,土,,,,3230,,1,土,,,,3251,,1,土,,,,610,,1,土,,,,2168,,1,土,,,,4520,,1,土,,,,1291,,1,土,,,,554,,1,土,,,,275
2,日,,,,3230,,2,日,,,,3251,,2,日,,,,610,,2,日,,,,2168,,2,日,,,,4520,,2,日,,,,1291,,2,日,,,,554,,2,日,,,,275
3,月,,,,3230,,3,月,,,,3251,,3,月,,,,610,,3,月,,,,2168,,3,月,,,,4520,,3,月,,,,1291,,3,月,,,,554,,3,月,,,,275
4,火,,44,0,3186,,4,火,,52,0,3199,,4,火,,14,0,596,,4,火,,4,0,2164,,4,火,,47,0,4473,,4,火,,0,0,1291,,4,火,,0,0,554,,4,火,,0,0,275
5,水,,112,0,3074,,5,水,,119,0,3080,,5,水,,8,1,587,,5,水,,13,0,2151,,5,水,,34,1,4438,,5,水,,3,20,1268,,5,水,,0,0,554,,5,水,,0,0,275
6,木,,23,0,3051,,6,木,,27,0,3053,,6,木,,4,0,583,,6,木,,11,0,2140,,6,木,,44,0,4394,,6,木,,0,1,1267,,6,木,,1,0,553,,6,木,,0,40,235
7,金,,104,0,2947,,7,金,,76,0,2977,,7,金,,2,0,581,,7,金,,12,0,2128,,7,金,,35,0,4359,,7,金,,0,0,1267,,7,金,,0,0,553,,7,金,,0,0,235
8,土,,,,2947,,8,土,,,,2977,,8,土,,,,581,,8,土,,,,2128,,8,土,,,,4359,,8,土,,,,1267,,8,土,,,,553,,8,土,,,,235
9,日,,,,2947,,9,日,,,,2977,,9,日,,,,581,,9,日,,,,2128,,9,日,,,,4359,,9,日,,,,1267,,9,日,,,,553,,9,日,,,,235
10,月,,44,0,2903,,10,月,,62,0,2915,,10,月,,12,0,569,,10,月,,13,0,2115,,10,月,,53,0,4306,,10,月,,0,0,1267,,10,月,,0,0,553,,10,月,,0,1,234
11,火,,36,0,2867,,11,火,,32,0,2883,,11,火,,11,0,558,,11,火,,11,0,2104,,11,火,,38,0,4268,,11,火,,0,0,1267,,11,火,,3,0,550,,11,火,,0,0,234
12,水,,61,0,2806,,12,水,,59,0,2824,,12,水,,11,0,547,,12,水,,7,0,2097,,12,水,,52,1,4215,,12,水,,20,0,1247,,12,水,,0,0,550,,12,水,,0,20,214
13,木,,49,0,2757,,13,木,,47,0,2777,,13,木,,8,0,539,,13,木,,8,0,2089,,13,木,,30,0,4185,,13,木,,12,0,1235,,13,木,,0,0,550,,13,木,,0,0,214
14,金,,61,0,2696,,14,金,,60,4,2713,,14,金,,2,0,537,,14,金,,20,0,2069,,14,金,,32,2,4151,,14,金,,0,0,1235,,14,金,,0,0,550,,14,金,,1,0,213
15,土,,,,2696,,15,土,,,,2713,,15,土,,,,537,,15,土,,,,2069,,15,土,,,,4151,,15,土,,,,1235,,15,土,,,,550,,15,土,,,,213
16,日,,,,2696,,16,日,,,,2713,,16,日,,,,537,,16,日,,,,2069,,16,日,,,,4151,,16,日,,,,1235,,16,日,,,,550,,16,日,,,,213
17,月,,97,0,2599,,17,月,,69,0,2644,,17,月,,0,1,536,,17,月,,24,0,2045,,17,月,,85,0,4066,,17,月,,0,0,1235,,17,月,,0,0,550,,17,月,,1,0,212
18,火,,105,0,2494,,18,火,,62,0,2582,,18,火,,9,1,526,,18,火,,4,0,2041,,18,火,,44,0,4022,,18,火,,5,0,1230,,18,火,,16,0,534,,18,火,,0,55,157
19,水,,76,0,2418,,19,水,,100,0,2482,,19,水,,2,0,524,,19,水,,12,0,2029,,19,水,,17,0,4005,,19,水,,5,0,1225,,19,水,,0,0,534,,19,水,,0,0,157
20,木,,14,0,2404,,20,木,,29,0,2453,,20,木,,12,0,512,,20,木,,19,0,2010,,20,木,,42,0,3963,,20,木,,0,0,1225,,20,木,,21,0,513,,20,木,,0,157,0
21,金,,78,0,2326,,21,金,,81,0,2372,,21,金,,5,0,507,,21,金,,2,0,2008,,21,金,,40,0,3923,,21,金,,2,0,1223,,21,金,,1,0,512,,21,金,,0,0,0
22,土,,,,2326,,22,土,,,,2372,,22,土,,,,507,,22,土,,,,2008,,22,土,,,,3923,,22,土,,,,1223,,22,土,,,,512,,22,土,,,,0
23,日,,,,2326,,23,日,,,,2372,,23,日,,,,507,,23,日,,,,2008,,23,日,,,,3923,,23,日,,,,1223,,23,日,,,,512,,23,日,,,,0
24,月,,,,2326,,24,月,,,,2372,,24,月,,,,507,,24,月,,,,2008,,24,月,,,,3923,,24,月,,,,1223,,24,月,,,,512,,24,月,,,,0
25,火,,73,0,2253,,25,火,,83,0,2289,,25,火,,8,0,499,,25,火,,36,0,1972,,25,火,,25,0,3898,,25,火,,0,0,1223,,25,火,,0,0,512,,25,火,,0,0,0
26,水,,63,0,2190,,26,水,,45,0,2244,,26,水,,5,0,494,,26,水,,6,0,1966,,26,水,,52,0,3846,,26,水,,4,0,1219,,26,水,,0,0,512,,26,水,,0,0,0
27,木,,28,20,2142,,27,木,,25,20,2199,,27,木,,11,1,482,,27,木,,21,0,1945,,27,木,,26,0,3820,,27,木,,4,0,1215,,27,木,,2,0,510,,27,木,,0,0,0
28,金,,40,0,2102,,28,金,,41,0,2158,,28,金,,12,0,470,,28,金,,14,0,1931,,28,金,,48,0,3772,,28,金,,6,0,1209,,28,金,,0,0,510,,28,金,,0,0,0
29,土,,,,2102,,29,土,,,,2158,,29,土,,,,470,,29,土,,,,1931,,29,土,,,,3772,,29,土,,,,1209,,29,土,,,,510,,29,土,,,,0
30,日,,,,2102,,30,日,,,,2158,,30,日,,,,470,,30,日,,,,1931,,30,日,,,,3772,,30,日,,,,1209,,30,日,,,,510,,30,日,,,,0
,,,,,2102,,,,,,,2158,,,,,,,470,,,,,,,1931,,,,,,,3772,,,,,,,1209,,,,,,,510,,,,,,,0
小計,,,1108,20,2102,,小計,,0,1069,24,2158,,小計,,0,136,4,470,,小計,,0,237,0,1931,,小計,,0,744,4,3772,,小計,,0,61,21,1209,,小計,,0,44,0,510,,小計,,0,2,273,0
合計,,,1128,,2102,,合計,,0,1093,,2158,,合計,,0,140,,470,,合計,,0,237,,1931,,合計,,0,748,,3772,,合計,,0,82,,1209,,合計,,0,44,,510,,合計,,0,275,,0
入荷予定日,,,状況,,入庫数,,入荷予定日,,,状況,,入庫数,,入荷予定日,,,状況,,入庫数,,入荷予定日,,,状況,,入庫数,,入荷予定日,,,状況,,入庫数,,入荷予定日,,,状況,,入庫数,,入荷予定日,,,状況,,入庫数,,入荷予定日,,,状況,,入庫数
,,,,,,,12/16,,,,,5000,,12/12,,,,,670,,,,,,,,,3月,,,,,"10,000",,,,,,,,,2月末,,,,,3333,,,,,,,
12月,,,,,"2,713",,4/3,,,,,5000,,12/16,,,,,670,,,,,　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1月,,,,,"2,719",,7/3,,,,,5000,,12/17,,,,,580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026/4、5、6月,,,,,約7700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,バルク,,,,,54万粒,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
セティ原料　早めに手配【2.5か月かかる】,,,,,,,,,,,,,,セティ原料手配,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
※セティ原料は納品したらすぐに次の分を発注しておくこと,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
